"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
46064708862,1296;2;0;1;105;;;;;;;;;"11/02/2026 17:00:46";"Alarm problem with machine room";"HMI_Connection_1"
46064709996,3889;2;1;1;105;;;;;;;;;"11/02/2026 17:02:24";"Alarm problem with machine room";"HMI_Connection_1"
46064710019,5255;2;0;1;105;;;;;;;;;"11/02/2026 17:02:26";"Alarm problem with machine room";"HMI_Connection_1"
46064711246,4005;2;1;1;105;;;;;;;;;"11/02/2026 17:04:12";"Alarm problem with machine room";"HMI_Connection_1"
46064711269,5486;2;0;1;105;;;;;;;;;"11/02/2026 17:04:14";"Alarm problem with machine room";"HMI_Connection_1"
46064712195,4745;2;1;1;105;;;;;;;;;"11/02/2026 17:05:34";"Alarm problem with machine room";"HMI_Connection_1"
46064712218,6111;2;0;1;105;;;;;;;;;"11/02/2026 17:05:36";"Alarm problem with machine room";"HMI_Connection_1"
46064937958,1134;1;1;3;140001;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"11/02/2026 22:30:40";"Connection disconnected: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46064938209,7338;1;1;3;140000;"HMI_Connection_1";"192.168.1.70";"0";"1";;;;;"11/02/2026 22:31:01";"Connection established: HMI_Connection_1, Station 192.168.1.70, Rack 0, Slot 1.";
46064934055,6609;9;1;34;35;;;;;;;"0405你000401878700000200即001440040C01000000001023003200020000040000000000";"-1056931830";"11/02/2026 22:25:02";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46064934196,6478;9;0;34;35;;;;;;;"0405你000401868600000200即001440040C01000000001023003200020000080000000000";"-1056931830";"11/02/2026 22:25:15";"CPU status message: CPU not in RUN Current CPU operating mode: STOP __ PLC / PLC _  ";"HMI_Connection_1"
46065317945,4745;2;1;1;61;;;;;;;;;"12/02/2026 07:37:50";"Vibration feeder heater failure";"HMI_Connection_1"
46065317991,7708;2;0;1;61;;;;;;;;;"12/02/2026 07:37:54";"Vibration feeder heater failure";"HMI_Connection_1"
46065320075,1157;2;1;1;61;;;;;;;;;"12/02/2026 07:40:54";"Vibration feeder heater failure";"HMI_Connection_1"
46065322598,2755;2;1;1;79;;;;;;;;;"12/02/2026 07:44:32";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065322783,4607;2;0;1;61;;;;;;;;;"12/02/2026 07:44:48";"Vibration feeder heater failure";"HMI_Connection_1"
46065322783,4607;2;0;1;79;;;;;;;;;"12/02/2026 07:44:48";"Damaged water pressure sensor in the network";"HMI_Connection_1"
46065324866,8056;2;1;1;61;;;;;;;;;"12/02/2026 07:47:48";"Vibration feeder heater failure";"HMI_Connection_1"
46065325051,9907;2;0;1;61;;;;;;;;;"12/02/2026 07:48:04";"Vibration feeder heater failure";"HMI_Connection_1"
46065327135,3356;2;1;1;61;;;;;;;;;"12/02/2026 07:51:04";"Vibration feeder heater failure";"HMI_Connection_1"
46065327181,6319;2;0;1;61;;;;;;;;;"12/02/2026 07:51:08";"Vibration feeder heater failure";"HMI_Connection_1"
46065329264,9769;2;1;1;61;;;;;;;;;"12/02/2026 07:54:08";"Vibration feeder heater failure";"HMI_Connection_1"
46065329878,4028;2;0;1;61;;;;;;;;;"12/02/2026 07:55:01";"Vibration feeder heater failure";"HMI_Connection_1"
46065331961,7361;2;1;1;61;;;;;;;;;"12/02/2026 07:58:01";"Vibration feeder heater failure";"HMI_Connection_1"
46065333443,2292;2;0;1;61;;;;;;;;;"12/02/2026 08:00:09";"Vibration feeder heater failure";"HMI_Connection_1"
46065335526,5856;2;1;1;61;;;;;;;;;"12/02/2026 08:03:09";"Vibration feeder heater failure";"HMI_Connection_1"
46065337933,9931;2;0;1;61;;;;;;;;;"12/02/2026 08:06:37";"Vibration feeder heater failure";"HMI_Connection_1"
